title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2019 Honda Jazz VX CVT,₹6.99 Lakh,"West, Thane",Sept 2019,Third Party,Petrol,5 Seats,"27,647 Kms",Mumbai,First Owner,1199 cc,Automatic,2019,1199 cc,88.7 bhp,18.2 kmpl,Petrol,,,,,2,,,,,,,
2023 Renault Kiger RXZ AMT,₹8.75 Lakh,Thane,Sept 2023,Comprehensive,Petrol,5 Seats,"8,100 Kms",Thane,First Owner,999 cc,Automatic,2023,999 cc,71 bhp,19.03 kmpl,,205 mm,,FWD,,,,,,,,4 Star,
2016 Honda Jazz 1.2 S i VTEC,₹4.70 Lakh,"Prabhadevi, Mumbai",Aug 2016,Expired,Petrol,5 Seats,"20,000 Kms",Mumbai,First Owner,1199 cc,Manual,2016,1199 cc,88.7 bhp,18.7 kmpl,Petrol,,,,3955mm,,,,,,,,
2022 Mercedes-Benz E-Class AMG E 350d BSVI,₹68 Lakh,"Borivali West, Mumbai",Feb 2022,Comprehensive,Diesel,5 Seats,"13,881 Kms",Diu,First Owner,2925 cc,Automatic,2022,2925 cc,281.61 bhp,,Diesel,,,,,7,,,,,,,250 kmph
2023 Tata Harrier XZA Plus AT,₹19.75 Lakh,"Andheri East, Mumbai",Apr 2023,Comprehensive,Diesel,5 Seats,"23,000 Kms",Mumbai,First Owner,1956 cc,Automatic,2023,1956 cc,167.67 bhp,14.6 kmpl,Diesel,,5,,,6,,,,,,,
2017 Honda City i-VTEC CVT ZX,₹7.99 Lakh,"Airoli, Navi Mumbai",Jan 2018,Expired,Petrol,5 Seats,"78,000 Kms",Mumbai,First Owner,1497 cc,Automatic,2017,1497 cc,117.6 bhp,18 kmpl,Petrol,,,,,6,,,,,,,
2017 Honda WR-V i-VTEC VX,₹5 Lakh,"Goregaon East, Mumbai",Nov 2017,Third Party,Petrol,5 Seats,"39,397 Kms",Mumbai,Second Owner,1199 cc,Manual,2017,1199 cc,88.7 bhp,17.5 kmpl,,188mm,,FWD,,,,,,,,,
2021 Kia Seltos HTX IVT G,₹13.52 Lakh,"Ghatkopar West, Mumbai",Dec 2021,Comprehensive,Petrol,5 Seats,"22,716 Kms",Mumbai,First Owner,1497 cc,Automatic,2021,1497 cc,113.42 bhp,16.8 kmpl,Petrol,,5,2WD,,,,,,,,,
2015 Maruti Ciaz ZXi,₹5.49 Lakh,Thane,Jul 2015,Comprehensive,Petrol,5 Seats,"26,300 Kms",Thane,First Owner,1373 cc,Manual,2015,1373 cc,91.1 bhp,20.73 kmpl,Petrol,,,,,,,,,,,,
2019 Hyundai Creta 1.6 SX Automatic,₹11.75 Lakh,"Jekegram, Thane",Jan 2020,Third Party,Petrol,5 Seats,"38,000 Kms",Mumbai,First Owner,1591 cc,Automatic,2019,1591 cc,121.3 bhp,14.8 kmpl,Petrol,,5,FWD,,,,,,,,,
2014 Mercedes-Benz E-Class E 200 CGI,₹13 Lakh,"Khar Delivery, Mumbai",Dec 2014,Third Party,Petrol,5 Seats,"81,000 Kms",karad,Second Owner,1991 cc,Automatic,2014,1991 cc,184 bhp,,Petrol,,5,RWD,,,,,,,,,233 kmph
2020 Volkswagen T-Roc TSI,₹17.45 Lakh,"Khar (w), Mumbai",Sept 2020,Comprehensive,Petrol,5 Seats,"47,000 Kms",Mumbai,First Owner,1498 cc,Automatic,2020,1498 cc,147.94 bhp,18.4 kmpl,Petrol,,5,FWD,,,,,,,,,
2013 Maruti Swift Dzire VXI,₹3.68 Lakh,"Ghatkopar West, Mumbai",Nov 2013,Comprehensive,Petrol,5 Seats,"27,734 Kms",Mumbai,First Owner,1197 cc,Manual,2013,1197 cc,83.14 bhp,20.85 kmpl,Petrol,,,,,,,,,,,,
2019 Jeep Compass 1.4 Limited Option,₹10.95 Lakh,"Jogeshwari West, Mumbai",Oct 2019,Zero Dep,Petrol,5 Seats,"44,000 Kms",Mumbai,First Owner,1368 cc,Automatic,2019,1368 cc,160 bhp,16 kmpl,,178mm,5,4X2,,,,,,,,,
2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹9.25 Lakh,"Andheri East, Mumbai",Oct 2019,Comprehensive,Petrol,5 Seats,"28,000 Kms",Mumbai,First Owner,998 cc,Automatic,2019,998 cc,118.35 bhp,18.15 kmpl,Petrol,,,FWD,,,,,,,,,
2020 Mercedes-Benz GLC 200,₹43.75 Lakh,"Matunga West, Mumbai",Dec 2020,Comprehensive,Petrol,5 Seats,"30,000 Kms",Jalgaon,First Owner,1991 cc,Automatic,2020,1991 cc,197 bhp,,Petrol,,,AWD,,,,,,,,,217 kmph
2014 Nissan Sunny XL,₹2.75 Lakh,"Andheri East, Mumbai",May 2014,Comprehensive,Petrol,5 Seats,"90,000 Kms",Mumbai,Third Owner,1498 cc,Manual,2014,1498 cc,97.6 bhp,16.95 kmpl,Petrol,,,,,,,,,,,,
2020 Land Rover Discovery Sport Dynamic SE Diesel,₹48.75 Lakh,"Khar (w), Mumbai",Oct 2020,Comprehensive,Diesel,7 Seats,"40,000 Kms",Mumbai,First Owner,1999 cc,Automatic,2020,1999 cc,245.40 bhp,,Diesel,,,4WD,,,,,,,,,200 kmph
2018 Honda WR-V i-VTEC VX,₹6.99 Lakh,"Borivali West, Mumbai",Nov 2018,Expired,Petrol,5 Seats,"25,000 Kms",Mumbai,First Owner,1199 cc,Manual,2018,1199 cc,88.7 bhp,17.5 kmpl,,188mm,,FWD,,,,,,,,,
2022 Mercedes-Benz EQS 580 4Matic,₹89 Lakh,"Santacruz (east), Mumbai",Nov 2022,Zero Dep,Electric,5 Seats,"23,500 Kms",Mumbai,First Owner,,Automatic,2022,,750.97 bhp,,,,,,,9,,857 km,107.8 kWh,,,,210 kmph
2018 Renault KWID Climber 1.0 AMT,₹3.07 Lakh,"Mulund West, Mumbai",Apr 2018,Third Party,Petrol,5 Seats,"40,263 Kms",Mumbai,First Owner,999 cc,Automatic,2018,999 cc,67 bhp,24.04 kmpl,Petrol,,,,,1,,,,,,,
2023 Maruti Alto K10 VXI Plus,₹5.12 Lakh,"West, Thane",Oct 2023,Comprehensive,Petrol,5 Seats,"8,652 Kms",Thane,First Owner,998 cc,Manual,2023,998 cc,65.71 bhp,24.39 kmpl,Petrol,,,,,,214 Litres,,,,,,
2014 Hyundai Grand i10 1.2 Kappa Asta,₹3.77 Lakh,"Navi, Mumbai",Dec 2014,Comprehensive,Petrol,5 Seats,"55,240 Kms",kalyan,First Owner,1197 cc,Manual,2014,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2021 Tata Nexon XMA AMT S BSVI,₹8.53 Lakh,"Mulund West, Mumbai",Feb 2021,Third Party,Petrol,5 Seats,"27,053 Kms",Thane,First Owner,1199 cc,Automatic,2021,1199 cc,118.35 bhp,17.05 kmpl,Petrol,209,,,,,,,,,,,
2023 Hyundai Grand i10 Nios Asta,₹6.75 Lakh,"Mulund West, Mumbai",Jul 2023,Comprehensive,Petrol,5 Seats,"24,150 Kms",Mumbai,First Owner,1197 cc,Manual,2023,1197 cc,82 bhp,18 kmpl,Petrol,,,,,,260 Litres,,,,,,
2024 Volvo XC 90 B6 Ultimate,₹89.75 Lakh,"Goregaon (w), Mumbai",Feb 2024,Expired,Petrol,7 Seats,"22,000 Kms",vasai,First Owner,1969 cc,Automatic,2024,1969 cc,300 bhp,,Petrol,,,AWD,,,,,,,,5 Star,180 kmph
2017 Mahindra XUV500 W10 2WD,₹9.49 Lakh,"West, Thane",Jan 2017,Expired,Diesel,7 Seats,"65,308 Kms",Mumbai,First Owner,2179 cc,Manual,2017,2179 cc,140 bhp,16 kmpl,,200mm,7,FWD,,,,,,,,,
2022 MG Astor Savvy CVT Red BSVI,₹15.19 Lakh,"Navi, Mumbai",Mar 2022,Comprehensive,Petrol,5 Seats,"13,508 Kms",Mumbai,First Owner,1498 cc,Automatic,2022,1498 cc,108.49 bhp,14.85 kmpl,Petrol,,5,,,6,,,,,,,
2018 Skoda Octavia Corporate Edition Diesel,₹9.90 Lakh,"Prabhadevi, Mumbai",Nov 2018,Expired,Diesel,5 Seats,"1,05,386 Kms",Mumbai,First Owner,1968 cc,Manual,2018,1968 cc,141 bhp,21 kmpl,Diesel,,,,,,,,,,,,
2019 Maruti Ertiga 1.5 ZDI Plus,₹12 Lakh,"Vileparle(west) S.o, Mumbai",Jul 2019,Zero Dep,Diesel,7 Seats,"41,400 Kms",Navi Mumbai,First Owner,1498 cc,Manual,2019,1498 cc,93.87 bhp,24.2 kmpl,Diesel,,7,,,,,,,,,,
2019 Volkswagen Vento Petrol Highline AT,₹7.46 Lakh,"Ghatkopar West, Mumbai",Oct 2019,Comprehensive,Petrol,5 Seats,"29,660 Kms",Mumbai,First Owner,1598 cc,Automatic,2019,1598 cc,103.6 bhp,14.4 kmpl,Petrol,,,,,,,,,,,,
2021 Tata Tigor 1.2 Revotron XTA,₹5.81 Lakh,"Kandivali East, Mumbai",Jun 2021,Comprehensive,Petrol,5 Seats,"20,685 Kms",Mumbai,First Owner,1199 cc,Automatic,2021,1199 cc,84 bhp,20.3 kmpl,Petrol,,,,,,,,,,,,
2016 Mahindra KUV 100 NXT G80 K2 Plus 6 Str,₹3.82 Lakh,"Kandivali East, Mumbai",May 2016,Comprehensive,Petrol,6 Seats,"24,311 Kms",Mumbai,First Owner,1198 cc,Manual,2016,1198 cc,82 bhp,18.15 kmpl,Petrol,,,,,,243 Litres,,,,,,
2021 Hyundai Grand i10 Nios Sportz CNG,₹5.77 Lakh,"Nerul, Navi Mumbai",Jul 2021,Zero Dep,CNG,5 Seats,"65,787 Kms",Mumbai,First Owner,1197 cc,Manual,2021,1197 cc,68.05 bhp,24 km/kg,CNG,,,,,2,,,,,,,
2021 Hyundai Venue SX Turbo iMT,₹9.95 Lakh,"Goregaon (w), Mumbai",Mar 2021,Expired,Petrol,5 Seats,"10,000 Kms",Mumbai,First Owner,998 cc,Manual,2021,998 cc,118.35 bhp,18 kmpl,Petrol,,,FWD,,,,,,,,,
2021 Maruti S Cross Zeta,₹7.49 Lakh,"West, Thane",Feb 2021,Zero Dep,Petrol,5 Seats,"58,921 Kms",Navi Mumbai,First Owner,1462 cc,Manual,2021,1462 cc,103.25 bhp,18.55 kmpl,Petrol,,,FWD,,,,,,,,,
2020 Tata Nexon 1.5 Revotorq XMA,₹7.55 Lakh,"Andheri East, Mumbai",Jan 2020,Comprehensive,Diesel,5 Seats,"38,600 Kms",Mumbai,Second Owner,1497 cc,Automatic,2020,1497 cc,108.5 bhp,21.5 kmpl,Diesel,,,FWD,,,,,,,,,
2016 Maruti Wagon R LXI CNG,₹3.85 Lakh,"Dadar, Mumbai",Sept 2016,Comprehensive,CNG,5 Seats,"33,020 Kms",Thane,First Owner,998 cc,Manual,2016,998 cc,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,,
2018 Audi A4 30 TFSI Technology,₹27.50 Lakh,"Goregaon (w), Mumbai",Mar 2019,Comprehensive,Petrol,5 Seats,"8,000 Kms",Mumbai,First Owner,1395 cc,Automatic,2018,1395 cc,147.51 bhp,,Petrol,,5,FWD,,,,,,,,,210 kmph
2015 Honda City i VTEC V,₹3.80 Lakh,"Mulund West, Mumbai",Feb 2015,Comprehensive,Petrol,5 Seats,"94,743 Kms",kalyan,Second Owner,1497 cc,Manual,2015,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2023 Maruti Jimny Alpha AT,₹14.50 Lakh,"Matunga West, Mumbai",Sept 2023,Comprehensive,Petrol,4 Seats,"12,500 Kms",Mumbai,First Owner,1462 cc,Automatic,2023,1462 cc,103 bhp,16.39 kmpl,,210 mm,4,4WD,,,,,,,,,
2016 Maruti Wagon R VXI 1.2,₹3.93 Lakh,"Kandivali East, Mumbai",Mar 2016,Comprehensive,Petrol,5 Seats,"25,077 Kms",Mumbai,First Owner,1197 cc,Manual,2016,1197 cc,81.80 bhp,20.52 kmpl,Petrol,,,,,1,,,,,,,
2018 Toyota Fortuner 2.8 4WD AT BSIV,₹29.51 Lakh,Thane,Jun 2018,Comprehensive,Diesel,7 Seats,"1,05,024 Kms",Pen,First Owner,2755 cc,Automatic,2018,2755 cc,174.5 bhp,15.04 kmpl,,220mm,7,4WD,,,,,,,,,
2018 BMW 6 Series GT 630i M Sport,₹37.50 Lakh,"Andheri West, Mumbai",Sept 2018,Comprehensive,Petrol,4 Seats,"58,200 Kms",Mumbai,First Owner,1998 cc,Automatic,2018,1998 cc,254.79 bhp,,Petrol,,,RWD,,,,,,,,,250 kmph
2015 Hyundai Grand i10 Asta,₹3.48 Lakh,"Kandivali East, Mumbai",Mar 2015,Comprehensive,Petrol,5 Seats,"45,322 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,,
2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹9.45 Lakh,"Jogeshwari West, Mumbai",Jun 2019,Comprehensive,Petrol,5 Seats,"24,000 Kms",Mumbai,First Owner,998 cc,Automatic,2019,998 cc,118.35 bhp,18.15 kmpl,Petrol,,,FWD,,,,,,,,,
2017 BMW 3 Series GT Luxury Line,₹20.50 Lakh,"Andheri West, Mumbai",Aug 2017,Comprehensive,Diesel,5 Seats,"79,900 Kms",Mumbai,Second Owner,1995 cc,Automatic,2017,1995 cc,188 bhp,,Diesel,,,RWD,,,,,,,,,226 kmph
2017 Hyundai i20 Active 1.2 SX,₹6.10 Lakh,"Sakinaka, Mumbai",Jun 2017,Comprehensive,Petrol,5 Seats,"24,500 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,17.19 kmpl,Petrol,,,,3995mm,,,,,,,,
2020 Maruti Baleno Zeta CVT,₹7.85 Lakh,"West, Thane",Nov 2020,Expired,Petrol,5 Seats,"29,154 Kms",Mumbai,First Owner,1197 cc,Automatic,2020,1197 cc,81.80 bhp,19.56 kmpl,Petrol,,,,,2,,,,,,,
2014 Hyundai Verna 1.6 SX VTVT,₹3.92 Lakh,"Kandivali East, Mumbai",Sept 2014,Expired,Petrol,5 Seats,"60,044 Kms",Mumbai,Second Owner,1591 cc,Manual,2014,1591 cc,121.3 bhp,17.01 kmpl,Petrol,,,,,,,,,,,,
2015 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹3.44 Lakh,"West, Thane",Jul 2015,Comprehensive,Petrol,5 Seats,"23,627 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2018 Land Rover Range Rover 3.0 Diesel SWB Vogue BSIV,₹1.28 Crore,"Ghatkopar East, Mumbai",Nov 2018,Comprehensive,Diesel,5 Seats,"59,000 Kms",Mumbai,First Owner,2993 cc,Automatic,2018,2993 cc,254.7 bhp,,Diesel,,,4WD,,,,,,,,,209 kmph
2021 Toyota Glanza G,₹7.76 Lakh,"Kandivali East, Mumbai",Mar 2021,Comprehensive,Petrol,5 Seats,"21,981 Kms",Thane,First Owner,1197 cc,Manual,2021,1197 cc,81.80 bhp,21.01 kmpl,Petrol,,,,,2,,,,,,,
2016 Volkswagen Vento 1.6 Comfortline,₹5.50 Lakh,"Borivali West, Mumbai",Dec 2016,Comprehensive,Petrol,5 Seats,"15,169 Kms",Mumbai,First Owner,1598 cc,Manual,2016,1598 cc,103.2 bhp,16.09 kmpl,Petrol,,,,,,,,,,,,
2021 MG Hector Shine CVT,₹13.75 Lakh,"Borivali West, Mumbai",Dec 2021,Expired,Petrol,5 Seats,"29,308 Kms",Mumbai,First Owner,1451 cc,Automatic,2021,1451 cc,141 bhp,9 kmpl,,192mm,5,FWD,,,,,,,,,
2014 Ford Ecosport 1.5 Ti VCT MT Titanium,₹3.95 Lakh,"Navi, Mumbai",Oct 2014,Comprehensive,Petrol,5 Seats,"70,504 Kms",Mumbai,First Owner,1499 cc,Manual,2014,1499 cc,110 bhp,15.8 kmpl,,200mm,,FWD,,,,,,,,,
2020 BMW X4 M Sport X xDrive30i,₹58.35 Lakh,"Jogeshwari East, Mumbai",Oct 2020,Expired,Petrol,5 Seats,"29,000 Kms",Pune,First Owner,1998 cc,Automatic,2020,1998 cc,248.08 bhp,,Petrol,,,4WD,,,,,,,,,213 kmph
2021 Skoda Kushaq 1.0 TSI Style 4 Airbags AT,₹14.25 Lakh,"Vikhroli, Mumbai",Dec 2021,Expired,Petrol,5 Seats,"19,001 Kms",Mumbai,First Owner,999 cc,Automatic,2021,999 cc,113.98 bhp,17.2 kmpl,,188mm,5,FWD,,,,,,,,,
2023 Toyota Fortuner GR S 4X4 Diesel AT,₹42.49 Lakh,"Antop Hill, Mumbai",Mar 2023,Third Party,Diesel,7 Seats,"34,010 Kms",Jamnagar,First Owner,2755 cc,Automatic,2023,2755 cc,201.15 bhp,12 kmpl,Diesel,,7,4WD,,,,,,,,,
2020 Maruti Swift Dzire AMT ZXI Plus,₹6.99 Lakh,"Santacruz Central, Mumbai",Jan 2020,Expired,Petrol,5 Seats,"31,203 Kms",Mumbai,First Owner,1197 cc,Automatic,2020,1197 cc,81.80 bhp,21.21 kmpl,Petrol,,,,,2,,,,,,,
2019 Tata Tiago XZ,₹4.65 Lakh,"West, Thane",Sept 2019,Expired,Petrol,5 Seats,"31,970 Kms",Mumbai,First Owner,1199 cc,Manual,2019,1199 cc,83.83 bhp,23.84 kmpl,Petrol,,,,,2,,,,,,,
2022 Maruti Brezza Zxi Plus,₹10.96 Lakh,"Navi, Mumbai",Oct 2022,Comprehensive,Petrol,5 Seats,"29,789 Kms",Mumbai,First Owner,1462 cc,Manual,2022,1462 cc,101.64 bhp,19.89 kmpl,,198 mm,5,FWD,,,,,,,,4 Star,
2019 Maruti Celerio ZXI,₹4.37 Lakh,"Ghatkopar West, Mumbai",Dec 2019,Comprehensive,Petrol,5 Seats,"75,712 Kms",Mumbai,First Owner,998 cc,Manual,2019,998 cc,67.05 bhp,21.63 kmpl,Petrol,,,,,1,,,,,,,
2022 Nissan Magnite Turbo CVT XV BSVI,₹7.75 Lakh,"Mulund East, Mumbai",Oct 2022,Comprehensive,Petrol,5 Seats,"15,180 Kms",Mumbai,First Owner,999 cc,Automatic,2022,999 cc,98.63 bhp,17.4 kmpl,Petrol,205,,,,,,,,,,,
2013 Ford Figo Petrol EXI,₹2.99 Lakh,"Borivali West, Mumbai",Dec 2013,Comprehensive,Petrol,5 Seats,"48,000 Kms",panvel,First Owner,1196 cc,Manual,2013,1196 cc,70.02 bhp,15.6 kmpl,Petrol,,,,3795mm,,,,,,,,
2014 Maruti Swift Dzire VXI,₹3.85 Lakh,"Kandivali East, Mumbai",Feb 2014,Expired,Petrol,5 Seats,"29,051 Kms",Mumbai,First Owner,1197 cc,Manual,2014,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,,378 Litres,,,,,3 Star,
2022 Maruti Wagon R VXI,₹5.65 Lakh,"West, Thane",Jul 2022,Third Party,Petrol,5 Seats,"20,000 Kms",Mumbai,First Owner,998 cc,Manual,2022,998 cc,67.05 bhp,21.79 kmpl,Petrol,,,,,1,,,,,,,
2016 Honda City V MT,₹4.65 Lakh,"Ghatkopar West, Mumbai",Nov 2016,Comprehensive,Petrol,5 Seats,"56,779 Kms",Thane,Second Owner,1497 cc,Manual,2016,1497 cc,116.3 bhp,16.8 kmpl,Petrol,,,,,,,,,,,,
2022 MG Astor Sharp EX BSVI,₹10.85 Lakh,"West, Thane",Jan 2023,Comprehensive,Petrol,5 Seats,"20,101 Kms",Mumbai,First Owner,1498 cc,Manual,2022,1498 cc,108.49 bhp,15.43 kmpl,Petrol,,5,,,6,,,,,,,
2021 Maruti S-Presso VXI CNG,₹4.76 Lakh,"West, Thane",Aug 2021,Comprehensive,CNG,4 Seats,"25,990 Kms",Navi Mumbai,First Owner,998 cc,Manual,2021,998 cc,55.92 bhp,32.73 km/kg,CNG,,,,,2,,,,,,,
2020 Kia Sonet GTX Plus Turbo DCT BSVI,₹10.95 Lakh,"Borivali West, Mumbai",Dec 2020,Zero Dep,Petrol,5 Seats,"27,508 Kms",Mumbai,First Owner,998 cc,Automatic,2020,998 cc,118.36 bhp,18.3 kmpl,Petrol,,5,FWD,,,,,,,,,
2021 Maruti Ignis Zeta AMT BSVI,₹5.75 Lakh,"Goregaon West, Mumbai",Aug 2021,Expired,Petrol,5 Seats,"34,000 Kms",Mumbai,First Owner,1197 cc,Automatic,2021,1197 cc,81.80 bhp,20.89 kmpl,Petrol,,,,,2,,,,,,,
2021 Mercedes-Benz GLS 400d 4MATIC BSVI,₹1.04 Crore,"Khar Delivery, Mumbai",Mar 2021,Comprehensive,Diesel,7 Seats,"30,000 Kms",Mumbai,First Owner,2925 cc,Automatic,2021,2925 cc,325.86 bhp,,Diesel,,,AWD,,,,,,,,,238 kmph
2020 Tata Altroz XZ,₹6.32 Lakh,"Ghatkopar West, Mumbai",Aug 2020,Comprehensive,Petrol,5 Seats,"29,872 Kms",Mumbai,First Owner,1199 cc,Manual,2020,1199 cc,86.83 bhp,19.33 kmpl,Petrol,,,,,2,,,,,,,
2011 Toyota Etios VX,₹2.79 Lakh,"Navi, Mumbai",May 2011,Comprehensive,Petrol,5 Seats,"48,410 Kms",Mumbai,First Owner,1496 cc,Manual,2011,1496 cc,88.73 bhp,16.78 kmpl,Petrol,,,,,,,,,,,,
2014 Honda City i VTEC VX,₹4.49 Lakh,"Chembur, Mumbai",Mar 2014,Comprehensive,Petrol,5 Seats,"71,555 Kms",vasai,First Owner,1497 cc,Manual,2014,1497 cc,117.3 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2021 Hyundai Venue SX,₹10.69 Lakh,"West, Thane",Jan 2022,Comprehensive,Petrol,5 Seats,"34,619 Kms",panvel,First Owner,1197 cc,Manual,2021,1197 cc,82 bhp,20.36 kmpl,Petrol,,,FWD,,,,,,,,4 Star,
2022 Kia Sonet GTX Plus Diesel AT BSVI,₹12.90 Lakh,"Borivali West, Mumbai",Dec 2022,Zero Dep,Diesel,5 Seats,"22,967 Kms",Mumbai,First Owner,1493 cc,Automatic,2022,1493 cc,113.43 bhp,,Diesel,,5,FWD,,6,,,,,,,
2022 Maruti Wagon R VXI CNG BSVI,₹5.80 Lakh,"West, Thane",Aug 2022,Third Party,CNG,5 Seats,"34,123 Kms",kalyan,First Owner,998 cc,Manual,2022,998 cc,55.92 bhp,34.05 km/kg,CNG,,,,,2,,,,,,,
2020 Maruti S-Presso VXI Opt CNG,₹4 Lakh,"Nerul, Navi Mumbai",Oct 2020,Comprehensive,CNG,4 Seats,"79,000 Kms",Pune,First Owner,998 cc,Manual,2020,998 cc,58.33 bhp,,CNG,,,,3565,2,,,,,,,
2018 Maruti Ignis Zeta,₹5.14 Lakh,"West, Thane",Jun 2018,Comprehensive,Petrol,5 Seats,"54,423 Kms",Thane,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,20.89 kmpl,Petrol,,,,,,260 Litres,,,,,,
2020 Kia Seltos HTK Plus G,₹9.71 Lakh,"Andheri East, Mumbai",Mar 2020,Expired,Petrol,5 Seats,"54,000 Kms",Mumbai,First Owner,1497 cc,Manual,2020,1497 cc,113.43 bhp,16.8 kmpl,Petrol,,5,FWD,,,,,,,,,
2014 Toyota Etios Liva G,₹3.25 Lakh,"Kandivali East, Mumbai",Jun 2014,Comprehensive,Petrol,5 Seats,"35,451 Kms",Mumbai,First Owner,1197 cc,Manual,2014,1197 cc,78.9 bhp,17.71 kmpl,Petrol,,,,3775mm,,,,,,,,
2016 Honda Amaze S i-Vtech,₹3.75 Lakh,"Malad West Dely, Mumbai",Apr 2016,Comprehensive,Petrol,5 Seats,"33,000 Kms",Mumbai,First Owner,1198 cc,Manual,2016,1198 cc,86.7 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2010 Toyota Corolla Altis GL,₹2.75 Lakh,"Mira Road West, Mumbai",Mar 2010,Expired,Petrol,5 Seats,"68,500 Kms",Mumbai,First Owner,1798 cc,Manual,2010,1798 cc,138.1 bhp,14.53 kmpl,Petrol,,,,,,,,,,,,
2013 Hyundai Grand i10 1.2 Kappa Asta,₹3.30 Lakh,"Kandivali East, Mumbai",Nov 2013,Comprehensive,Petrol,5 Seats,"68,138 Kms",kalyan,First Owner,1197 cc,Manual,2013,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2017 Maruti Alto K10 VXI,₹3.12 Lakh,"Kandivali East, Mumbai",Aug 2017,Comprehensive,Petrol,5 Seats,"19,021 Kms",Mumbai,First Owner,998 cc,Manual,2017,998 cc,67.05 bhp,23.95 kmpl,Petrol,,,,,1,,,,,,,
2015 Hyundai i20 Active 1.2 SX,₹4.75 Lakh,"Borivali West, Mumbai",Nov 2015,Expired,Petrol,5 Seats,"48,000 Kms",Mumbai,First Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,17.19 kmpl,Petrol,,,,3995mm,,,,,,,,
2021 Tata Tiago NRG XZ,₹6.08 Lakh,"Ghatkopar West, Mumbai",Dec 2021,Comprehensive,Petrol,5 Seats,"30,446 Kms",panvel,First Owner,1199 cc,Manual,2021,1199 cc,84.82 bhp,20.09 kmpl,Petrol,,,,,,242 Litres,,,,,4 Star,
2016 Land Rover Discovery Sport TD4 HSE,₹23.99 Lakh,"Ghatkopar East, Mumbai",Mar 2016,Comprehensive,Diesel,5 Seats,"1,17,000 Kms",Thane,First Owner,1999 cc,Automatic,2016,1999 cc,147.5 bhp,,Diesel,,,4WD,,,,,,,,,180 kmph
2020 Volkswagen Tiguan Allspace 4Motion,₹27 Lakh,"Nerul, Navi Mumbai",Dec 2020,Comprehensive,Petrol,7 Seats,"40,000 Kms",panvel,First Owner,1984 cc,Automatic,2020,1984 cc,187.74 bhp,17.01 kmpl,Petrol,,7,,,7,,,,,,,
2020 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹5.49 Lakh,"Navi, Mumbai",Aug 2020,Comprehensive,Petrol,5 Seats,"42,699 Kms",Mumbai,First Owner,1197 cc,Manual,2020,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2018 Mercedes-Benz E-Class Exclusive E 220d,₹31.50 Lakh,"Andheri West, Mumbai",Apr 2018,Comprehensive,Diesel,5 Seats,"60,750 Kms",Mumbai,First Owner,1950 cc,Automatic,2018,1950 cc,191.7 bhp,,Diesel,,,RWD,,,,,,,,,240 kmph
2018 Tata Nexon XZ Plus (O) Diesel,₹7.31 Lakh,"Ghatkopar West, Mumbai",Aug 2018,Comprehensive,Diesel,5 Seats,"36,311 Kms",kalyan,First Owner,1497 cc,Manual,2018,1497 cc,108.49 bhp,21.19 kmpl,Diesel,209,5,,,,,,,,,,
2017 Renault KWID Climber 1.0 AMT,₹2.57 Lakh,"Kandivali East, Mumbai",Feb 2018,Comprehensive,Petrol,5 Seats,"45,700 Kms",Mumbai,First Owner,999 cc,Automatic,2017,999 cc,67 bhp,24.04 kmpl,Petrol,,,,,1,,,,,,,
2021 Maruti Swift Dzire ZXI Plus BSVI,₹7.49 Lakh,"Borivali West, Mumbai",Aug 2021,Comprehensive,Petrol,5 Seats,"4,500 Kms",Mumbai,First Owner,1197 cc,Manual,2021,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,2,,,,,,,
