Year of Manufacture,Kms Driven,Power,Mileage,Engine Displacement,Brand,Model,Transmission,Fuel Type,City,price
2022,5743,182.0,17.0,2198.0,Mahindra,XUV700 AX5 7 Str Diesel,Manual,Diesel,Ahmedabad,1553000
2013,74000,147.51,16.55,1968.0,Audi,A4 2.0 TDI,Automatic,Diesel,Ahmedabad,1250000
2017,98172,121.3,17.0,1591.0,Hyundai,Verna VTVT 1.6 AT SX Option,Automatic,Petrol,Ahmedabad,713000
2017,89000,98.6,26.0,1498.0,Honda,City i DTec V,Manual,Diesel,Ahmedabad,675000
2018,80000,153.86,19.529431028174166,2179.0,Tata,Hexa XTA,Automatic,Diesel,Coimbatore,850000
2015,90000,82.0,19.1,1197.0,Hyundai,Xcent 1.2 Kappa SX,Manual,Petrol,Ahmedabad,390000
2017,72359,108.91762795275592,19.529431028174166,1197.0,Maruti,Ignis 1.2 AMT Delta BSIV,Automatic,Petrol,Ahmedabad,376000
2019,49000,108.91762795275592,19.529431028174166,1199.0,Honda,WR-V i-VTEC VX,Manual,Petrol,Ahmedabad,725000
2020,58000,113.43,16.8,1497.0,Kia,Seltos HTK G,Manual,Petrol,Ahmedabad,1051000
2020,53643,75.0,18.78,999.0,Volkswagen,Polo 1.0 MPI Highline,Manual,Petrol,Ahmedabad,565000
2018,54232,81.8,21.21,1197.0,Maruti,Swift Dzire VXI 1.2,Manual,Petrol,Ahmedabad,580000
2016,38000,261.49,19.529431028174166,2993.0,BMW,7 Series 730Ld Design Pure Excellence CBU,Automatic,Diesel,New Delhi,3890000
2017,57576,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz Option,Manual,Petrol,Ahmedabad,438999
2020,76500,72.0,20.0,999.0,Renault,Triber RXT BSIV,Manual,Petrol,Ahmedabad,445000
2013,19000,67.04,20.51,998.0,Maruti,Wagon R Stingray VXI,Manual,Petrol,Ahmedabad,350000
2017,60178,73.97,24.0,1186.0,Hyundai,Grand i10 1.2 CRDi Magna,Manual,Diesel,Ahmedabad,330000
2016,79197,83.1,21.4,1197.0,Maruti,Baleno 1.2 Zeta,Manual,Petrol,Ahmedabad,422000
2020,78000,147.51,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 G MT,Manual,Diesel,Ahmedabad,1751000
2016,44000,177.0,19.33,1999.0,Jaguar,XF 2.0 Diesel Prestige,Automatic,Diesel,Ghaziabad,1745000
2021,20000,67.0,22.0,999.0,Renault,KWID 1.0 RXL AMT,Automatic,Petrol,Coimbatore,393000
2020,45963,68.05,20.3,1086.0,Hyundai,Santro Era Executive,Manual,Petrol,Ahmedabad,409999
2019,54379,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Magna BSIV,Manual,Petrol,Ahmedabad,492000
2017,74827,84.0,23.84,1199.0,Tata,Tiago 1.2 Revotron XZ,Manual,Petrol,Ahmedabad,356000
2012,90000,67.0,18.9,998.0,Maruti,Wagon R Pro,Manual,Petrol,Coimbatore,180000
2015,75000,88.7,18.7,1199.0,Honda,Jazz 1.2 S i VTEC,Manual,Petrol,Ahmedabad,360000
2010,49000,78.9,20.36,1197.0,Hyundai,i10 Sportz 1.2,Manual,Petrol,Ahmedabad,229999
2020,34839,67.05,21.79,998.0,Maruti,Wagon R VXI,Manual,Petrol,Ahmedabad,421000
2017,69000,138.03,13.93,2179.0,Tata,Safari DICOR 2.2 EX 4x2 BS IV,Manual,Diesel,Ahmedabad,811000
2017,73000,190.0,19.529431028174166,1995.0,BMW,3 Series 320d,Automatic,Diesel,Ahmedabad,1900000
2018,75000,147.8,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 G MT BSIV,Manual,Diesel,Ahmedabad,1540000
2014,90000,83.11,20.4,1197.0,Maruti,Swift LXI Optional-O,Manual,Petrol,Coimbatore,320000
2016,46000,82.0,18.15,1198.0,Mahindra,KUV 100 mFALCON G80 K8 5str,Manual,Petrol,Ahmedabad,275000
2015,99695,74.0,26.59,1248.0,Maruti,Swift Dzire VDI,Manual,Diesel,Ahmedabad,476999
2018,48500,81.8,21.21,1197.0,Maruti,Swift Dzire VXI 1.2,Manual,Petrol,Ahmedabad,525000
2018,80000,86.8,18.16,1196.0,Ford,Aspire 1.2 Ti-VCT Titanium,Manual,Petrol,Coimbatore,330000
2012,78002,46.3,19.7,796.0,Maruti,Alto 800 LXi,Manual,Petrol,Ahmedabad,114999
2022,75000,113.45,18.0,1493.0,Hyundai,Creta SX Opt Diesel AT BSVI,Automatic,Diesel,Ahmedabad,1685000
2014,68000,78.9,20.36,1197.0,Hyundai,i10 Sportz,Manual,Petrol,Ahmedabad,350000
2020,39754,71.01,18.2,999.0,Renault,Triber RXZ EASY-R AMT BSVI,Automatic,Petrol,Ahmedabad,570000
2017,48000,136.0,19.529431028174166,2143.0,Mercedes-Benz,CLA 200 CDI Sport,Automatic,Diesel,New Delhi,2089999
2015,68000,55.2,21.1,814.0,Hyundai,EON Era Plus,Manual,Petrol,Ahmedabad,210000
2012,38000,108.91762795275592,13.2,1495.0,Hyundai,Accent GLE,Manual,Petrol,Ahmedabad,275000
2016,150000,82.0,18.9,1197.0,Hyundai,Grand i10 Sportz Celebration Edition,Manual,Petrol,Coimbatore,330000
2020,30000,134.1,19.529431028174166,2143.0,Mercedes-Benz,CLA 200 CDI Style,Automatic,Diesel,Ahmedabad,2250000
2014,42000,143.0,19.529431028174166,1968.0,Audi,A3 35 TDI Attraction,Automatic,Diesel,Ahmedabad,1290000
2021,38186,74.0,27.39,1248.0,Maruti,Baleno Delta Diesel,Manual,Diesel,Ahmedabad,567000
2018,10506,81.8,20.52,1197.0,Maruti,Wagon R VXI 1.2,Manual,Petrol,Ahmedabad,401000
2010,78000,108.91762795275592,16.0,995.0,Chevrolet,Spark 1.0 PS,Manual,Petrol,Coimbatore,99000
2018,60000,83.1,21.4,1197.0,Maruti,Baleno 1.2 Delta,Manual,Petrol,Coimbatore,400000
2016,45000,37.48,36.0,624.0,Tata,Nano CNG XM,Manual,CNG,Ahmedabad,150000
2021,44116,71.01,20.0,999.0,Renault,Triber RXT,Manual,Petrol,Ahmedabad,442000
2017,34000,117.6,18.0,1497.0,Honda,City i-VTEC CVT ZX,Automatic,Petrol,Ahmedabad,850000
2023,18000,113.18,18.6,1497.0,Hyundai,Verna SX,Manual,Petrol,Ahmedabad,1325000
2018,61000,248.0,19.529431028174166,1984.0,Audi,Q5 45 TFSI Technology,Automatic,Petrol,New Delhi,3790000
2015,29000,82.0,18.9,1197.0,Hyundai,Grand i10 Magna,Manual,Petrol,Ahmedabad,450000
2017,80000,86.7,17.8,1198.0,Honda,Amaze VX i-VTEC,Manual,Petrol,Coimbatore,334000
2018,56217,67.0,21.63,998.0,Maruti,Celerio X AMT ZXI BSIV,Automatic,Petrol,Ahmedabad,383000
2018,86461,46.3,19.7,796.0,Maruti,Alto 800 LXi,Manual,Petrol,Ahmedabad,276000
2022,34778,71.02,18.75,999.0,Nissan,Magnite XL BSVI,Manual,Petrol,Ahmedabad,536000
2022,22239,118.35,18.15,998.0,Hyundai,Venue SX Plus Turbo DCT,Automatic,Petrol,Ahmedabad,931000
2024,10000,147.51,19.529431028174166,1.0,Mahindra,XUV400 EV EL Pro DT 394 kWh,Automatic,Electric,Coimbatore,1600000
2017,80000,74.0,27.39,1248.0,Maruti,Baleno 1.3 Delta,Manual,Diesel,Ahmedabad,550000
2017,62000,108.91762795275592,19.529431028174166,1498.0,Honda,WR-V i-DTEC VX,Manual,Diesel,Ahmedabad,690000
2011,63633,88.7,20.14,1498.0,Volkswagen,Polo Exquisite 1.5 TDI Highline,Manual,Diesel,Ahmedabad,287000
2019,81288,108.49,19.39,1461.0,Nissan,Kicks Diesel,Manual,Diesel,Ahmedabad,707000
2018,87000,147.8,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 VX MT 8S BSIV,Manual,Diesel,Ahmedabad,1750000
2016,61000,67.04,20.51,998.0,Maruti,Wagon R VXI BS IV,Manual,Petrol,Ahmedabad,299000
2014,81000,362.9,7.81,5461.0,Mercedes-Benz,S-Class S 500 L,Automatic,Petrol,New Delhi,4290000
2022,50000,108.91762795275592,19.529431028174166,1497.0,Hyundai,Verna SX IVT,Automatic,Petrol,Ahmedabad,1150000
2023,25000,108.91762795275592,19.529431028174166,1440.1495461749028,Tata,Tigor EV XZ Plus,Automatic,Electric,Ahmedabad,950000
2021,51000,118.35,17.05,1199.0,Tata,Nexon XMA AMT S BSVI,Automatic,Petrol,Ahmedabad,775000
2013,90000,89.84,22.7,1498.0,Ford,Ecosport 1.5 DV5 MT Titanium,Manual,Diesel,Coimbatore,325000
2021,74905,152.87,15.1,2179.0,Mahindra,XUV500 W9 AT,Automatic,Diesel,Ahmedabad,1305000
2018,122910,126.2,20.5,1582.0,Hyundai,Creta 1.6 SX Diesel,Manual,Diesel,Ahmedabad,890000
2016,70000,108.91762795275592,19.529431028174166,1498.0,Honda,Jazz 1.5 V i DTEC,Manual,Diesel,Ahmedabad,509999
2021,19000,141.0,13.96,1451.0,MG,Hector Sharp DCT,Automatic,Petrol,Ahmedabad,1475000
2018,62000,86.7,17.8,1198.0,Honda,Amaze S i-VTEC,Manual,Petrol,Ahmedabad,575000
2021,22188,150.0,8.0,1997.0,Mahindra,Thar LX 4WD Hard Top AT BSVI,Automatic,Petrol,Ahmedabad,1034000
2015,65000,88.7,18.7,1199.0,Honda,Jazz 1.2 SV i VTEC,Manual,Petrol,Ahmedabad,400000
2013,39000,174.33,19.529431028174166,1968.0,Audi,A6 2.0 TDI,Automatic,Diesel,Ahmedabad,1395000
2016,33038,53.3,25.17,799.0,Renault,KWID RXT,Manual,Petrol,Ahmedabad,254999
2018,40000,121.3,17.0,1591.0,Hyundai,Verna VTVT 1.6 SX Option,Manual,Petrol,Coimbatore,802000
2016,94000,108.91762795275592,19.529431028174166,1498.0,Honda,Jazz 1.5 VX i DTEC,Manual,Diesel,Ahmedabad,329000
2021,52504,138.08,16.5,1353.0,Kia,Seltos GTX Plus DCT,Automatic,Petrol,Ahmedabad,1392000
2022,46000,113.45,18.0,1493.0,Hyundai,Venue S Plus Diesel BSVI,Manual,Diesel,Ahmedabad,1025000
2016,120633,126.2,23.9,1582.0,Hyundai,Verna 1.6 CRDi SX,Manual,Diesel,Ahmedabad,631000
2018,39439,108.91762795275592,19.529431028174166,1047.0,Tata,Tiago 1.05 Revotorq XZ,Manual,Diesel,Ahmedabad,480999
2022,38149,114.0,19.2,999.0,Volkswagen,Taigun 1.0 Highline,Manual,Petrol,Ahmedabad,989000
2022,80000,167.68,13.0,1956.0,MG,Hector Shine Diesel MT,Manual,Diesel,Coimbatore,1400000
2021,39000,81.86,20.7,1197.0,Hyundai,Grand i10 Nios Sportz,Manual,Petrol,Ahmedabad,625000
2015,74000,103.5,17.21,1197.0,Volkswagen,Polo GT TSI,Automatic,Petrol,Ahmedabad,590000
2023,17500,70.67,26.78,1197.0,Maruti,Eeco 5 Seater AC CNG,Manual,CNG,Ahmedabad,649000
2022,44000,113.98,18.07,999.0,Skoda,Slavia 1.0 TSI Style AT BSVI,Automatic,Petrol,Ahmedabad,1295000
2016,34000,108.91762795275592,19.529431028174166,1198.0,Honda,Brio 1.2 S MT,Manual,Petrol,Ahmedabad,425000
2022,30000,150.0,8.0,1997.0,Mahindra,Thar LX 4WD Hard Top AT BSVI,Automatic,Petrol,Coimbatore,1350000
2017,51000,88.7,17.5,1199.0,Honda,WR-V i-VTEC VX,Manual,Petrol,Ahmedabad,650000
2018,30782,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Ahmedabad,467000
2008,50000,67.0,18.9,1061.0,Maruti,Wagon R LXI Minor,Manual,Petrol,Ahmedabad,180000
2022,30000,138.08,16.5,1353.0,Kia,Seltos GTX Plus DCT,Automatic,Petrol,Coimbatore,1500000
2017,47000,138.13,19.529431028174166,1968.0,Audi,Q3 30 TDI,Manual,Diesel,New Delhi,1889999
2018,105000,174.5,14.24,2755.0,Toyota,Fortuner 2.8 2WD MT BSIV,Manual,Diesel,Ahmedabad,2475000
2019,92000,113.4,17.8,1493.0,Kia,Seltos HTX Plus AT D,Automatic,Diesel,Ahmedabad,1190000
2015,55000,82.0,18.9,1197.0,Hyundai,Grand i10 Magna,Manual,Petrol,Ahmedabad,400000
2015,50000,98.6,26.0,1498.0,Honda,City i DTEC E,Manual,Diesel,Coimbatore,350000
2018,91224,81.8,20.89,1197.0,Maruti,Ignis 1.2 AMT Zeta BSIV,Automatic,Petrol,Ahmedabad,400000
2019,40244,105.0,13.9,1498.0,Renault,Duster RXS Option CVT BSIV,Automatic,Petrol,Ahmedabad,725000
2021,59000,65.71,26.0,998.0,Maruti,Celerio ZXI Plus AMT BSVI,Automatic,Petrol,Ahmedabad,525000
2017,97000,126.2,17.01,1582.0,Hyundai,Creta 1.6 CRDi AT SX Plus,Automatic,Diesel,Ahmedabad,850000
2024,9500,80.46,24.8,1197.0,Maruti,Swift ZXi Plus,Manual,Petrol,Ahmedabad,844999
2016,66000,186.0,19.529431028174166,1796.0,Mercedes-Benz,C-Class C 200 CGI Avantgarde,Automatic,Petrol,New Delhi,2590000
2022,80000,197.13,13.0,1999.0,Mahindra,XUV700 AX5 7 Str BSVI,Manual,Petrol,Coimbatore,1225000
2017,76987,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Ahmedabad,432000
2017,80000,67.04,20.51,998.0,Maruti,Wagon R VXI Plus,Manual,Petrol,Coimbatore,300000
2015,68000,108.91762795275592,19.529431028174166,1461.0,Renault,Duster 85PS Diesel RxE,Manual,Diesel,Ahmedabad,430000
2021,9787,65.71,24.76,998.0,Maruti,S-Presso VXI,Manual,Petrol,Ahmedabad,437000
2013,68600,108.91762795275592,19.529431028174166,1198.0,Honda,Brio S MT,Manual,Petrol,Ahmedabad,260000
2018,77000,81.8,21.21,1197.0,Maruti,Swift VXI,Manual,Petrol,Ahmedabad,541000
2022,18000,88.5,16.5,1199.0,Honda,WR-V VX,Manual,Petrol,Ahmedabad,890000
2020,51761,74.0,27.39,1248.0,Maruti,Baleno Alpha Diesel,Manual,Diesel,Ahmedabad,658000
2019,150000,187.74,19.529431028174166,1995.0,BMW,5 Series 520d Luxury Line,Automatic,Diesel,Coimbatore,3000000
2016,55000,88.5,24.3,1248.0,Maruti,Vitara Brezza LDi,Manual,Diesel,Ahmedabad,625000
2017,63619,55.2,21.1,814.0,Hyundai,EON Era,Manual,Petrol,Ahmedabad,272000
2019,62000,152.87,15.1,2179.0,Mahindra,XUV500 W7 BSIV,Manual,Diesel,Ahmedabad,950000
2015,130000,67.04,20.51,998.0,Maruti,Wagon R VXI BS IV,Manual,Petrol,Ahmedabad,275000
2017,12849,67.0,20.51,998.0,Maruti,Wagon R AMT VXI,Automatic,Petrol,Ahmedabad,399000
2016,80000,117.3,17.8,1497.0,Honda,City i VTEC V,Manual,Petrol,Ahmedabad,550000
2018,40000,84.0,23.84,1199.0,Tata,Tiago 1.2 Revotron XT,Manual,Petrol,Coimbatore,380000
2021,35000,81.86,17.52,1197.0,Hyundai,Venue S,Manual,Petrol,Ahmedabad,790000
2017,127000,108.6,22.15,1498.0,Volkswagen,Vento 1.5 TDI Highline AT,Automatic,Diesel,Ahmedabad,700000
2016,70926,98.59,22.77,1498.0,Ford,Ecosport 1.5 TDCi Titanium BSIV,Manual,Diesel,Ahmedabad,515000
2013,80000,85.8,18.6,1197.0,Maruti,Swift VXI,Manual,Petrol,Coimbatore,300000
2016,64000,108.91762795275592,19.529431028174166,998.0,Maruti,Celerio VXI,Manual,Petrol,Ahmedabad,315000
2013,76000,103.6,15.04,1598.0,Volkswagen,Vento Petrol Highline,Manual,Petrol,Ahmedabad,300000
2022,20000,119.35,18.6,1498.0,Honda,City V MT,Manual,Petrol,Coimbatore,994999
2014,45200,70.02,15.6,1196.0,Ford,Figo Petrol EXI,Manual,Petrol,Ahmedabad,199000
2014,90866,117.3,17.4,1497.0,Honda,City i VTEC SV,Manual,Petrol,Ahmedabad,386000
2021,20524,53.3,25.17,799.0,Renault,KWID RXT,Manual,Petrol,Ahmedabad,400000
2012,150000,108.91762795275592,19.529431028174166,796.0,Maruti,Alto 800 LXi,Manual,Petrol,Coimbatore,110000
2017,19947,67.0,24.04,999.0,Renault,KWID 1.0 AMT RXT,Automatic,Petrol,Ahmedabad,300000
2022,32000,73.75,19.529431028174166,1440.1495461749028,Tata,Tiago EV XZ Plus Tech LUX LR,Automatic,Electric,Ahmedabad,875000
2021,69325,118.35,18.2,998.0,Kia,Sonet HTX Turbo iMT,Automatic,Petrol,Ahmedabad,759000
2013,160000,82.85,18.5,1197.0,Hyundai,i20 Sportz 1.2,Manual,Petrol,Coimbatore,270000
2017,70005,81.8,20.89,1197.0,Maruti,Ignis Zeta,Manual,Petrol,Ahmedabad,409999
2010,150000,108.91762795275592,16.8,1493.0,Hyundai,Verna CRDi SX,Manual,Diesel,Coimbatore,140000
2013,58540,108.91762795275592,19.529431028174166,1197.0,Hyundai,i20 Era Petrol,Manual,Petrol,Ahmedabad,241000
2018,55584,81.8,20.89,1197.0,Maruti,Ignis 1.2 Zeta BSIV,Manual,Petrol,Ahmedabad,397000
2021,35000,187.74,19.529431028174166,1995.0,BMW,5 Series 520d Luxury Line,Automatic,Diesel,Ahmedabad,4900000
2018,42000,81.8,21.21,1197.0,Maruti,Swift ZXI,Manual,Petrol,Ahmedabad,564000
2012,72000,271.23,19.529431028174166,2993.0,Jaguar,XJ 3.0L Premium Luxury,Automatic,Diesel,Ghaziabad,1275000
2014,86570,81.83,18.6,1197.0,Hyundai,i20 Asta 1.2,Manual,Petrol,Ahmedabad,385000
2022,14320,101.64,19.89,1462.0,Maruti,Brezza Zxi,Manual,Petrol,Ahmedabad,973000
2020,65000,103.26,19.01,1462.0,Maruti,Ertiga ZXI Plus,Manual,Petrol,Ahmedabad,975000
2017,69000,170.0,19.529431028174166,2143.0,Mercedes-Benz,GLC 220,Automatic,Diesel,New Delhi,3390000
2020,61443,102.53,13.06,1598.0,Renault,Duster Petrol RxL,Manual,Petrol,Ahmedabad,648000
2021,17598,47.3,24.7,796.0,Maruti,Alto 800 VXI,Manual,Petrol,Ahmedabad,372000
2016,50767,83.14,18.5,1197.0,Maruti,Swift Dzire VXi AT,Automatic,Petrol,Ahmedabad,493000
2021,33377,65.71,24.97,998.0,Maruti,Celerio ZXI Plus,Manual,Petrol,Ahmedabad,507000
2012,70421,86.8,19.4,1198.0,Honda,Brio S MT,Manual,Petrol,Ahmedabad,270000
2016,87000,77.0,25.32,1198.0,Mahindra,KUV 100 mFALCON D75 K8,Manual,Diesel,Coimbatore,260000
2017,60000,117.3,17.8,1497.0,Honda,City i VTEC V,Manual,Petrol,Coimbatore,650000
2019,67000,108.91762795275592,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 VX MT,Manual,Diesel,Ahmedabad,1850000
2019,90000,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone,Manual,Petrol,Coimbatore,409999
2019,25291,46.3,19.7,796.0,Maruti,Alto 800 LXi,Manual,Petrol,Ahmedabad,321000
2017,69612,67.1,23.95,998.0,Maruti,Alto K10 VXI AGS Optional,Automatic,Petrol,Ahmedabad,320000
2021,33755,81.8,20.52,1197.0,Maruti,Wagon R VXI 1.2,Manual,Petrol,Ahmedabad,471000
2013,65000,108.91762795275592,19.529431028174166,1199.0,Volkswagen,Polo Diesel Highline 1.2L,Manual,Diesel,Ahmedabad,315000
2021,46647,83.83,23.84,1199.0,Tata,Tiago XZA,Automatic,Petrol,Ahmedabad,551000
2014,81000,74.0,22.9,1248.0,Maruti,Swift ZDi,Manual,Diesel,Coimbatore,365000
2012,75000,108.91762795275592,19.529431028174166,1364.0,Toyota,Corolla Altis Diesel D4DG,Manual,Diesel,Ahmedabad,425000
2019,87000,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Ahmedabad,525000
2017,51675,81.83,18.6,1197.0,Hyundai,i20 Magna 1.2,Manual,Petrol,Ahmedabad,480999
2015,51000,110.0,15.8,1499.0,Ford,Ecosport 1.5 Ti VCT MT Titanium,Manual,Petrol,Ahmedabad,450000
2021,37029,130.0,15.2,2184.0,Mahindra,Thar LX 4WD Convert Top Diesel BSVI,Manual,Diesel,Ahmedabad,1148000
2016,63000,126.2,23.9,1582.0,Hyundai,Verna 1.6 CRDi S,Manual,Diesel,Ahmedabad,565000
2023,7735,67.05,21.79,998.0,Maruti,Wagon R LXI,Manual,Petrol,Ahmedabad,540000
2017,74942,183.0,16.38,1995.0,Hyundai,Tucson 2.0 e-VGT 2WD AT GLS,Automatic,Diesel,Ahmedabad,1400000
2022,80000,197.13,13.0,1999.0,Mahindra,XUV700 AX5 7 Str BSVI,Manual,Petrol,Coimbatore,1225000
2012,49000,78.9,20.36,1197.0,Hyundai,i10 Magna,Manual,Petrol,Ahmedabad,245000
2013,95000,108.91762795275592,19.529431028174166,1248.0,Tata,Indica Quadrajet LS,Manual,Diesel,Ahmedabad,175000
2012,44590,83.14,20.85,1197.0,Maruti,Swift Dzire VXI,Manual,Petrol,Ahmedabad,333000
2017,100000,174.5,15.04,2755.0,Toyota,Fortuner 2.8 4WD AT BSIV,Automatic,Diesel,Ahmedabad,2200000
2016,120000,69.0,23.03,1396.0,Tata,Indigo LX BSIV,Manual,Diesel,Ahmedabad,100000
2017,42000,55.2,21.1,814.0,Hyundai,EON Era Plus,Manual,Petrol,Ahmedabad,240000
2016,90925,86.7,18.0,1198.0,Honda,Amaze VX i-Vtech,Manual,Petrol,Ahmedabad,451000
2014,77000,184.0,19.529431028174166,1995.0,BMW,X1 sDrive20d,Automatic,Diesel,Ahmedabad,1075000
2019,150000,126.2,20.5,1582.0,Hyundai,Creta 1.6 SX Option Executive Diesel,Manual,Diesel,Coimbatore,950000
2018,53000,82.0,18.15,1198.0,Mahindra,KUV 100 NXT G80 K4 Plus,Manual,Petrol,Ahmedabad,311000
2018,78000,147.51,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 VX MT 8 STR,Manual,Diesel,Ahmedabad,1811000
2015,82000,117.3,18.0,1497.0,Honda,City i VTEC CVT VX,Automatic,Petrol,Coimbatore,425000
2014,33000,55.2,21.1,814.0,Hyundai,EON D Lite Plus,Manual,Petrol,Ahmedabad,225000
2015,43226,81.83,18.6,1197.0,Hyundai,i20 Sportz 1.2,Manual,Petrol,Ahmedabad,474000
2020,58000,93.87,24.2,1498.0,Maruti,Ertiga 1.5 ZDI Plus,Manual,Diesel,Ahmedabad,1050000
2015,102229,86.7,17.8,1198.0,Honda,Amaze S i-VTEC,Manual,Petrol,Ahmedabad,381000
2012,160000,126.3,22.32,1582.0,Hyundai,Verna 1.6 CRDi EX MT,Manual,Diesel,Coimbatore,200000
2022,5829,68.05,20.3,1086.0,Hyundai,Santro Magna,Manual,Petrol,Ahmedabad,468000
2022,90000,167.67,14.6,1956.0,Tata,Harrier XZA Plus Dark Edition AT 2020-2022,Automatic,Diesel,Coimbatore,1450000
2013,85000,108.91762795275592,19.529431028174166,2494.0,Toyota,Innova 2.5 VX (Diesel) 7 Seater,Manual,Diesel,Ahmedabad,775000
2014,96042,84.8,21.64,1461.0,Nissan,Sunny Diesel XV,Manual,Diesel,Ahmedabad,345000
2017,100000,82.0,18.9,1197.0,Hyundai,Grand i10 Magna,Manual,Petrol,Coimbatore,372000
2018,43580,98.6,25.8,1498.0,Honda,Amaze VX i DTEC,Manual,Diesel,Ahmedabad,602000
2015,53302,81.83,18.6,1197.0,Hyundai,i20 Asta 1.2,Manual,Petrol,Ahmedabad,534000
2019,70986,113.18,18.45,1497.0,Hyundai,Verna SX IVT Opt,Automatic,Petrol,Ahmedabad,856000
2014,30852,67.1,18.9,998.0,Maruti,Wagon R LXI,Manual,Petrol,Ahmedabad,282000
2017,86000,171.5,19.529431028174166,2755.0,Toyota,Innova Crysta 2.8 GX AT BSIV,Automatic,Diesel,Ahmedabad,1395000
2020,42296,108.91762795275592,19.529431028174166,1996.0,MG,Gloster Savvy 4x2 6Str,Automatic,Diesel,Ahmedabad,2779000
2014,73000,98.6,25.8,1498.0,Honda,Amaze E i-Dtech,Manual,Diesel,Ahmedabad,370000
2022,100000,108.91762795275592,19.529431028174166,2198.0,Mahindra,Scorpio N Z8L Diesel AT BSVI,Automatic,Diesel,Ahmedabad,1900000
2016,42000,82.0,18.9,1197.0,Hyundai,Grand i10 Sportz,Manual,Petrol,Ahmedabad,450000
2016,77000,98.6,26.0,1498.0,Honda,City i DTec VX,Manual,Diesel,Ahmedabad,575000
2021,62168,58.33,31.2,998.0,Maruti,S-Presso VXI CNG 2019-2020,Manual,CNG,Ahmedabad,386000
2023,30000,108.49,15.43,1498.0,MG,Astor Sharp Ivory MT,Manual,Petrol,Coimbatore,1330000
2020,49300,103.26,18.76,1462.0,Maruti,Vitara Brezza ZXI Plus AT,Automatic,Petrol,Ahmedabad,858000
2014,61000,82.0,19.1,1197.0,Hyundai,Xcent 1.2 Kappa S,Manual,Petrol,Ahmedabad,450000
2018,138000,174.5,14.24,2755.0,Toyota,Fortuner 2.8 2WD MT BSIV,Manual,Diesel,Ahmedabad,2650000
2011,100000,108.91762795275592,19.529431028174166,1197.0,Maruti,Swift Dzire LXI Option,Manual,Petrol,Coimbatore,210000
2017,81409,88.7,17.5,1199.0,Honda,WR-V Exclusive Petrol,Manual,Petrol,Ahmedabad,483000
2013,71000,108.91762795275592,19.529431028174166,1086.0,Hyundai,i10 Era 1.1 iTech SE,Manual,Petrol,Ahmedabad,325000
2015,78000,126.2,17.01,1582.0,Hyundai,Creta 1.6 CRDi AT SX Plus,Automatic,Diesel,Coimbatore,590000
2023,40000,73.75,19.529431028174166,1440.1495461749028,Tata,Tiago EV XZ Plus LR,Automatic,Electric,Coimbatore,850000
2017,54000,82.0,18.9,1197.0,Hyundai,Grand i10 Sportz,Manual,Petrol,Ahmedabad,450000
2017,68200,126.2,22.0,1582.0,Hyundai,Verna CRDi 1.6 SX Option,Manual,Diesel,Ahmedabad,675000
2021,41661,108.91762795275592,19.529431028174166,999.0,Renault,KWID Climber 1.0 MT Opt,Manual,Petrol,Ahmedabad,421000
2014,78000,67.06,23.59,1364.0,Toyota,Etios Cross 1.4L GD,Manual,Diesel,Coimbatore,335000
2023,10000,118.27,17.44,1199.0,Tata,Nexon Creative DT,Manual,Petrol,Coimbatore,850000
2017,93341,88.7,18.7,1199.0,Honda,Jazz 1.2 SV i VTEC,Manual,Petrol,Ahmedabad,399000
2010,72000,108.91762795275592,16.0,1198.0,Honda,Jazz Active,Manual,Petrol,Ahmedabad,181000
2015,77000,82.0,18.9,1197.0,Hyundai,Grand i10 Sportz,Manual,Petrol,Ahmedabad,441000
2012,44419,108.91762795275592,19.529431028174166,998.0,Maruti,Wagon R VXI CNG,Manual,CNG,Ahmedabad,274000
2019,40000,81.8,21.01,1197.0,Maruti,Baleno Delta,Manual,Petrol,Coimbatore,500000
2019,70324,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Ahmedabad,511000
2018,44000,108.91762795275592,19.529431028174166,1999.0,Land,Rover Range Rover Evoque 2.0 TD4 HSE,Automatic,Diesel,Ahmedabad,3200000
2018,56108,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Ahmedabad,538000
2020,65200,117.6,18.0,1497.0,Honda,City i-VTEC CVT VX,Automatic,Petrol,Ahmedabad,950000
2019,92478,81.86,18.6,1197.0,Hyundai,i20 Sportz Plus BSIV,Manual,Petrol,Ahmedabad,606000
